"","FamilyA","FamilyB"
"1","Acciaiuoli","Guicciardini"
"2","Acciaiuoli","Medici"
"3","Adimari","Arrigucci"
"4","Adimari","Barbadori"
"5","Adimari","Strozzi"
"6","Albizzi","Altoviti"
"7","Albizzi","Della_Casa"
"8","Albizzi","Corsi"
"9","Albizzi","Davanzati"
"10","Albizzi","Frescobaldi"
"11","Albizzi","Ginori"
"12","Albizzi","Guadagni"
"13","Albizzi","Guasconi"
"14","Albizzi","Guicciardini"
"15","Albizzi","Medici"
"16","Albizzi","Nerli"
"17","Albizzi","Del_Palagio"
"18","Albizzi","Panciatichi"
"19","Albizzi","Scolari"
"20","Aldobrandini","Scolari"
"21","Aldobrandini","Strozzi"
"22","Alessandri","Tanagli"
"23","Altoviti","Albizzi"
"24","Altoviti","Barbadori"
"25","Altoviti","Bencivenni"
"26","Altoviti","Gianfigliazzi"
"27","Altoviti","Guasconi"
"28","Altoviti","Spini"
"29","Dall'Antella","Martelli"
"30","Dall'Antella","Rondinelli"
"31","Dall'Antella","Strozzi"
"32","Ardinghelli","Gianfigliazzi"
"33","Ardinghelli","Guadagni"
"34","Ardinghelli","Peruzzi"
"35","Ardinghelli","Rossi"
"36","Ardinghelli","Strozzi"
"37","Arrighi","Guadagni"
"38","Arrigucci","Adimari"
"39","Baldovinetti","Ciampegli"
"40","Baldovinetti","Guasconi"
"41","Baldovinetti","Manelli"
"42","Baldovinetti","Strozzi"
"43","Barbadori","Adimari"
"44","Barbadori","Altoviti"
"45","Barbadori","Carducci"
"46","Barbadori","Castellani"
"47","Barbadori","Frescobaldi"
"48","Barbadori","Medici"
"49","Barbadori","Ricasoli"
"50","Bardi","Bucelli"
"51","Bardi","Gianfigliazzi"
"52","Bardi","Guadagni"
"53","Bardi","Medici"
"54","Bardi","Serragli"
"55","Bardi","Strozzi"
"56","Bardi","Da_Uzzano"
"57","Baroncelli","Raugi"
"58","Baronci","Manovelli"
"59","Bartoli","Solosmei"
"60","Bartolini","Martelli"
"61","Belfradelli","Frescobaldi"
"62","Bencivenni","Altoviti"
"63","Del_Benino","Donati"
"64","Benizzi","Peruzzi"
"65","Bischeri","Guadagni"
"66","Bischeri","Guicciardini"
"67","Bischeri","Peruzzi"
"68","Bischeri","Strozzi"
"69","Brancacci","Guasconi"
"70","Brancacci","Strozzi"
"71","Bucelli","Bardi"
"72","Bucelli","Panciatichi"
"73","Capponi","Nasi(?)"
"74","Capponi","Sacchetti"
"75","Capponi","Serragli"
"76","Capponi","Vettori"
"77","Carducci","Barbadori"
"78","Carducci","Strozzi"
"79","Della_Casa","Albizzi"
"80","Della_Casa","Ricasoli"
"81","Castellani","Barbadori"
"82","Castellani","Doffi"
"83","Castellani","Pepi"
"84","Castellani","Peruzzi"
"85","Castellani","Ricasoli"
"86","Castellani","Rondinelli"
"87","Castellani","Strozzi"
"88","Cavalcanti","Ginori"
"89","Cavalcanti","Medici"
"90","Cavalcanti","Strozzi"
"91","Ciai","Ginori"
"92","Ciampegli","Baldovinetti"
"93","Corbinelli","Medici"
"94","Corsi","Albizzi"
"95","Davanzati","Albizzi"
"96","Davanzati","Lapi"
"97","Davanzati","Orlandini"
"98","Dietisalvi","Ginori"
"99","Doffi","Castellani"
"100","Donati","Del_Benino"
"101","Donati","Valori"
"102","Federighi","Dello_Scarfa"
"103","Fioravanti","Guadagni"
"104","Fioravanti","Medici"
"105","Frescobaldi","Albizzi"
"106","Frescobaldi","Barbadori"
"107","Frescobaldi","Belfradelli"
"108","Frescobaldi","Gianfigliazzi"
"109","Frescobaldi","Peruzzi"
"110","Frescobaldi","Salviati"
"111","Gianfigliazzi","Altoviti"
"112","Gianfigliazzi","Ardinghelli"
"113","Gianfigliazzi","Bardi"
"114","Gianfigliazzi","Frescobaldi"
"115","Gianfigliazzi","Medici"
"116","Gianfigliazzi","Panciatichi"
"117","Gianfigliazzi","Peruzzi"
"118","Gianfigliazzi","Ricasoli"
"119","Gianfigliazzi","Rondinelli"
"120","Gianfigliazzi","Strozzi"
"121","Ginori","Albizzi"
"122","Ginori","Cavalcanti"
"123","Ginori","Ciai"
"124","Ginori","Dietisalvi"
"125","Giugni","Medici"
"126","Giugni","Pandolfini"
"127","Giugni","Valori"
"128","Guadagni","Albizzi"
"129","Guadagni","Ardinghelli"
"130","Guadagni","Arrighi"
"131","Guadagni","Bardi"
"132","Guadagni","Bischeri"
"133","Guadagni","Fioravanti"
"134","Guadagni","Guicciardini"
"135","Guadagni","Lamberteschi"
"136","Guadagni","Scolari"
"137","Guadagni","Tornabuoni"
"138","Guasconi","Albizzi"
"139","Guasconi","Altoviti"
"140","Guasconi","Baldovinetti"
"141","Guasconi","Brancacci"
"142","Guasconi","Mancini"
"143","Guasconi","Medici"
"144","Guasconi","Peruzzi"
"145","Guasconi","Ricasoli"
"146","Guasconi","Rondinelli"
"147","Guasconi","Di_Ser_Segna"
"148","Guasconi","Spini"
