	Australia	Austria	Belgium	Canada	Chile	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea, Republic of	Latvia	Lithuania	Luxembourg	Mexico	Netherlands	New Zealand	Norway	Poland	Portugal	Slovak Republic	Slovenia	Spain	Sweden	Switzerland	Turkey	United Kingdom	United States
Australia		29.790872	715.121782	1436.185242	228.83668	136.490997	72.442447	7.023225	63.551471	1198.186266	2009.807529	23.659951	27.437887	318.011573	79.307657	210.544564	640.024092	41186.372926	17575.553016	12.051576	4.910671	43.197702	180.012551	2423.336462	7163.949272	126.70004	357.582809	31.077736	2.550943	30.642653	626.219755	262.827392	880.038455	318.561243	3644.086374	9727.19521
Austria	1455.595704		2671.939994	1404.539605	238.059356	6732.249488	895.975607	212.848813	795.42571	7783.333948	54538.375055	511.946005	6245.428951	47.92223	372.67821	452.820546	11747.040122	1742.341228	1138.331212	182.013077	295.556344	217.131857	1532.311787	3578.974971	181.920682	702.347846	6026.957465	496.922622	8715.423199	3692.417575	3183.230755	2080.158537	8982.857726	1605.26723	5107.681485	11724.916337
Belgium	2229.58806	4536.503709		3805.813162	627.122089	4124.055612	3378.45143	426.245083	2606.871743	67415.793084	82807.441601	1991.343733	3134.447522	139.430612	2708.618872	2339.79397	23847.196142	3789.318107	2031.497609	400.66191	1094.452513	7670.269907	1546.971764	56963.27456	316.482374	1921.039987	10010.101107	2647.360518	1310.406298	761.121318	13119.666365	7541.487799	6051.360081	5877.559501	37187.007032	24315.017227
Canada	1544.66536	195.252021	2017.542403		757.255479	213.504452	278.77418	19.102524	658.340802	2636.58844	3711.595643	88.222952	71.555913	148.337794	550.672576	356.083006	2350.007785	9966.283607	4277.305527	563.819227	81.216381	51.627674	6332.542471	3606.4495	407.099299	1757.068238	573.076182	295.629824	26.994999	64.727662	1656.013593	425.825379	1437.460209	1018.797302	12584.439507	337831.875906
Chile	218.319057	101.889264	605.192041	1036.595564		16.053134	239.229719	4.365352	223.047385	1041.682475	1007.981077	50.77331	11.364905	4.704612	58.440896	152.87438	826.422342	7016.29449	4332.340869	10.577214	26.887887	0.30257	1292.664104	1600.093377	71.76964	44.403348	81.906914	56.661952	1.86125	2.508975	1680.44719	102.374969	523.434672	292.292558	705.432629	10456.377688
Czech Republic	435.839209	9029.012169	4336.193232	357.61408	78.336003		1818.874768	388.280234	1148.674226	10240.539255	65657.902834	497.278658	6076.043587	52.558092	1278.58622	1013.242659	7832.350877	908.899844	486.616314	302.239195	712.384541	265.623116	800.843829	7483.083279	102.819296	865.780208	12268.365894	696.212579	15300.464554	994.246994	6308.474172	3501.795545	2721.600105	2151.800313	9390.310113	4135.803007
Denmark	1082.145166	853.926895	1923.316369	1005.307986	193.08999	1127.261276		312.887662	2384.57829	4136.230275	17098.695276	539.293261	749.620104	643.478448	768.910547	215.977037	2979.359226	2205.664839	889.969253	336.285465	545.90859	84.501519	557.933813	5199.274066	149.79586	6673.08012	3297.296375	408.824511	289.994806	126.842168	2457.607209	12509.589213	872.385105	951.35784	7511.084283	8886.158135
Estonia	84.054046	61.810487	290.566638	151.660593	5.544403	110.098995	552.636398		2709.296648	359.906009	1068.389585	17.520298	49.374199	33.430681	20.775735	21.186587	179.219152	83.804659	70.181663	1625.813166	930.723769	0.841278	62.110763	488.341842	4.576334	645.138621	372.163771	27.631887	58.107944	15.737638	156.498127	1861.166361	126.897386	176.77939	377.805963	1085.25032
Finland	815.808742	561.772333	2287.148607	798.149899	307.940377	411.570098	1348.49427	2078.778832		2113.689354	11410.152722	158.324445	346.776134	59.839938	146.478173	218.6503	1746.849504	1806.817809	1172.608892	719.796417	669.516843	26.867388	507.45052	5082.049951	100.816695	2007.134222	2026.076886	226.008493	157.508434	90.240611	1233.407451	7696.074254	917.276234	863.037139	3357.49699	5275.639926
France	3161.252925	4765.32468	41481.258059	4004.828793	1313.053697	5786.943009	3562.727553	399.197003	2149.318375		84460.410623	2689.836912	4135.858836	101.133972	3799.033705	1748.681186	43325.431519	7870.009439	5147.854895	399.625954	857.450095	3420.459247	3937.198336	21111.816356	549.687642	2270.084583	11867.618917	6410.544692	3454.20455	1212.891114	45422.14636	6098.221741	19024.547848	7127.810955	38948.963758	45670.511489
