Disease ID,Disorder name,Gene symbols,OMIM ID,Chromosome,Class
1,"17,20-lyase deficiency, isolated, 202110 (3)","CYP17A1, CYP17, P450C17",609300,10q24.3,Endocrine
1,"17-alpha-hydroxylase/17,20-lyase deficiency, 202110 (3)","CYP17A1, CYP17, P450C17",609300,10q24.3,Endocrine
3,"2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency, 300438 (3)","HADH2, ERAB",300256,Xp11.2,Metabolic
4,2-methylbutyrylglycinuria (3),ACADSB,600301,10q25-q26,Metabolic
5,"3-beta-hydroxysteroid dehydrogenase, type II, deficiency (3)",HSD3B2,201810,1p13.1,Metabolic
6,"3-hydroxyacyl-CoA dehydrogenase deficiency, 609609 (3)","HADHSC, SCHAD",601609,4q22-q26,Metabolic
7,"3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3)","MCCC1, MCCA",609010,3q25-q27,Metabolic
7,"3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3)","MCCC2, MCCB",609014,5q12-q13,Metabolic
8,"3-methylglutaconic aciduria, type I, 250950 (3)",AUH,600529,Chr.9,Metabolic
9,"3-methylglutaconicaciduria, type III, 258501 (3)","OPA3, MGA3",606580,19q13.2-q13.3,Metabolic
10,"3-M syndrome, 273750 (3)",CUL7,609577,6p21.1,multiple
12,6-mercaptopurine sensitivity (3),TPMT,187680,6p22.3,Metabolic
13,Aarskog-Scott syndrome (3),"FGD1, FGDY, AAS",305400,Xp11.21,multiple
14,"Abacavir hypersensitivity, susceptibility to (3)",HLA-B,142830,6p21.3,Immunological
15,"ABCD syndrome, 600501 (3)","EDNRB, HSCR2, ABCDS",131244,13q22,multiple
17,"Abetalipoproteinemia, 200100 (3)",MTP,157147,4q22-q24,Metabolic
17,Abetalipoproteinemia (3),"APOB, FLDB",107730,2p24,Metabolic
18,"Acampomelic campolelic dysplasia, 114290 (3)","SOX9, CMD1, SRA1",608160,17q24.3-q25.1,Skeletal
21,Acatalasemia (3),CAT,115500,11p13,Hematological
22,"Accelerated tumor formation, susceptibility to (3)",MDM2,164785,12q14.3-q15,Cancer
24,"Achalasia-addisonianism-alacrimia syndrome, 231550 (3)","AAAS, AAA",605378,12q13,multiple
25,"Acheiropody, 200500 (3)","C7orf2, ACHP, LMBR1",605522,7q36,Skeletal
26,"Achondrogenesis-hypochondrogenesis, type II, 200610 (3)",COL2A1,120140,12q13.11-q13.2,Bone
27,"Achondrogenesis Ib, 600972 (3)","SLC26A2, DTD, DTDST, D5S1708,
EDM4",606718,5q32-q33.1,Bone
28,"Achondroplasia, 100800 (3)","FGFR3, ACH",134934,4p16.3,Skeletal
29,"Achromatopsia-2, 216900 (3)","CNGA3, CNG3, ACHM2",600053,2q11,Ophthamological
