name,leaning
"100monkeystyping.com","left"
"12thharmonic.com/wordpress","left"
"40ozblog.blogspot.com","left"
"4lina.tblog.com","left"
"750volts.blogspot.com","left"
"84rules.blog-city.com","right"
"95theses.blogspot.com","left"
"a100wwe.blogspot.com","right"
"abbadabbaduo.blogspot.com","left"
"aboutpolitics.blogspot.com","left"
"absurd-canadian.blogspot.com","right"
"ace.mu.nu","right"
"aceoftrumpblog.blogspot.com","right"
"acepilots.com/mt","right"
"acertainslantoflight.blogspot.com","right"
"achicknamedmarzi.com","right"
"achingandspinning.blogspot.com","left"
"ackackack.com","left"
"activistchat.com/blogiran","right"
"adamtalib.blogspot.com","left"
"adeimantus.blogspot.com","right"
"adonai.cc","right"
"adviceforlefty.blogspot.com","left"
"agonist.org","left"
"aintnobaddude.com","left"
"airjun.blogspot.com","right"
"ajbenjaminjr.blogspot.com","left"
"alamodispatches.blogspot.com","right"
"alamonation.blogspot.com","right"
"alarmingnews.com","right"
"aldaron.modblog.com","right"
"aldaynet.org","right"
"alexpelan.blogspot.com","right"
"alicublog.blogspot.com","left"
"alittlemoretotheright.com","right"
"allahpundit.com","right"
"allanjenkins.typepad.com","left"
"all-encompassingly.com","right"
"allspinzone.blogspot.com","left"
"allthingsmark.com","right"
"alphapatriot.com","right"
"alphapredator.com/wdtgw.htm","left"
"alternateworlds.blogspot.com","left"
"althippo.blogspot.com","left"
"althouse.blogspot.com","right"
"alvintostig.typepad.com","left"
"americablog.blogspot.com","left"
"americablog.org","left"
"americaindenial.com/?q=node/feed","right"
"americanchronicle.blogspot.com","right"
"americancommentator.blogs.com/the_american_commentator_","right"
"americandigest.org","right"
"americandinosaur.blogspot.com","right"
"americandreamslost.blogspot.com","left"
"americanfuture.typepad.com","right"
"americanjihad.blogspot.com","right"
"americankernel.com","right"
"americanmuslim.blogs.com","left"
"americanpolitics.com","left"
"americanreport.blogspot.com","right"
"americansforbayh.blogspot.com","left"
"americanthinker.com","right"
"americanwarmonger.blogspot.com","right"
"americanworldview.tripod.com/weltansblog","right"
"americasteen.tk","right"
"amigo13.blogspot.com","right"
"amleft.blogspot.com","left"
"amliberal.com/blog","left"
"amptoons.com/blog","left"
"amradio.blogspot.com","right"
"anarchyxero.robfindlay.org","left"
"andifeelfine.blogspot.com","left"
"andrewsullivan.com","right"
"andrightlyso.blogspot.com","right"
"andymatic.com","left"
"angrybear.blogspot.com","left"
"angrychineseblogger.blog-city.com","right"
"angrydesi.typepad.com","left"
"angryfinger.org","left"
"angrygwn.blogspot.com","right"
"angryhomo.blogspot.com","left"
"annatopia.com/home.html","left"
"anncoulter.org","right"
"annika.mu.nu","right"
"anoldsoul.blogspot.com","left"
"anonymoussources.blogspot.com","left"
"anothervrwc.blogspot.com","right"
"answerguy.blogspot.com","left"
"antijohnkerry.blogspot.com","right"
"antiprotester.blogspot.com","right"
"anybodybutbushyall.blogspot.com","left"
"anywhichway.net","left"
"apologiesdemanded.blogspot.com","right"
"arancaytar.blogspot.com","left"
"archpundit.com","left"
"arkansastonight.com","left"
"arkanssouri.blogspot.com","right"
"armchairgeneralist.typepad.com","right"
"asian-nation.org/headlines/index.php","left"
"asiegeofherons.blogspot.com","left"
"asilentrevolution.blogspot.com","left"
"askhoudari.blogspot.com","left"
"asmallvictory.net","right"
"asmodeus-space.com/weblog/blog/index.php","right"
"astrosoup.blogspot.com","right"
"astroturf.uni.cc","left"
"atease.blogspot.com","left"
"athena.blogs.com","right"
"atomicairship.com","left"
"atrios.blogspot.com","left"
"aurelientt.blogspot.com","left"
"awards5.tripod.com/tarasblog","left"
"awideawake.blogspot.com","right"
"ayerdis.com/rants.php","right"
"babylon.squarespace.com","left"
"babytrollblog.com","right"
"badattitudes.com/mt","left"
"bakshi.us/redskunk","left"
"baldilocks.typepad.com","right"
"balloon-juice.com","right"
"bamapachyderm.blogspot.com","right"
"barcidhomily.com","left"
"barkingdingo.blogspot.com","left"
"bartcop.com","left"
