number,name,scenes
0,DARTH VADER,190
1,R2-D2,171
2,CHEWBACCA,145
3,BB-8,40
4,QUI-GON,62
5,NUTE GUNRAY,25
6,PK-4,4
7,TC-14,5
8,OBI-WAN,148
9,DOFINE,4
10,RUNE,11
11,TEY HOW,5
12,EMPEROR,52
13,CAPTAIN PANAKA,20
14,SIO BIBBLE,9
15,JAR JAR,42
16,TARPALS,4
17,BOSS NASS,5
18,PADME,75
19,RIC OLIE,12
20,WATTO,9
21,SEBULBA,4
22,JIRA,4
23,SHMI,12
24,C-3PO,151
25,DARTH MAUL,6
26,KITSTER,5
27,WALD,4
28,FODE/BEED,12
29,JABBA,8
30,GREEDO,4
31,VALORUM,4
32,MACE WINDU,23
33,KI-ADI-MUNDI,7
34,YODA,46
35,RABE,3
36,BAIL ORGANA,24
37,GENERAL CEEL,5
38,BRAVO TWO,6
39,BRAVO THREE,4
40,CAPTAIN TYPHO,7
41,SENATOR ASK AAK,4
42,ORN FREE TAA,4
43,SOLA,4
44,JOBAL,4
45,RUWEE,5
46,TAUN WE,8
47,LAMA SU,9
48,BOBA FETT,11
49,JANGO FETT,6
50,OWEN,11
51,BERU,7
52,CLIEGG,4
53,COUNT DOOKU,10
54,SUN RIT,4
55,POGGLE,4
56,PLO KOON,4
57,ODD BALL,5
58,GENERAL GRIEVOUS,13
59,FANG ZAR,4
60,MON MOTHMA,5
61,GIDDEAN DANU,3
62,CLONE COMMANDER GREE,5
63,CLONE COMMANDER CODY,5
64,TION MEDON,4
65,CAPTAIN ANTILLES,4
66,LUKE,161
67,CAMIE,4
68,BIGGS,19
69,LEIA,99
70,MOTTI,4
71,TARKIN,13
72,HAN,170
73,DODONNA,4
74,GOLD LEADER,15
75,WEDGE,29
76,RED LEADER,34
77,RED TEN,9
78,GOLD FIVE,9
79,RIEEKAN,8
80,DERLIN,4
81,ZEV,7
82,PIETT,13
83,OZZEL,4
84,DACK,5
85,JANSON,5
86,NEEDA,4
87,LANDO,42
88,JERJERROD,4
89,BIB FORTUNA,4
90,BOUSHH,4
91,ADMIRAL ACKBAR,13
92,LOR SAN TEKKA,5
93,POE,31
94,KYLO REN,23
95,CAPTAIN PHASMA,7
96,FINN,64
97,UNKAR PLUTT,6
98,REY,57
99,GENERAL HUX,15
100,LIEUTENANT MITAKA,4
101,BALA-TIK,5
102,SNOKE,5
103,MAZ,7
104,SNAP,6
105,ADMIRAL STATURA,4
106,YOLO ZIFF,4
107,COLONEL DATOO,4
108,ELLO ASTY,5
109,JESS,5
110,NIV LEK,4
