from	to	amount
AUS	ARG	156251292
AUS	AUT	39474862
AUS	BEL	965550384
AUS	BRA	1348659969
AUS	CAN	1045200786
AUS	CHE	1420158612
AUS	CHL	404361427
AUS	CHN	117779702548
AUS	CZE	96308989
AUS	DEU	1765137111
AUS	DNK	109406870
AUS	ESP	457082102
AUS	EST	3061565
AUS	FIN	173744980
AUS	FRA	1368871154
AUS	GBR	3450607027
AUS	GRC	28630110
AUS	HUN	32678343
AUS	IDN	7003473114
AUS	IND	13991310524
AUS	IRL	76463035
AUS	ISL	1018557
AUS	ISR	149156114
AUS	ITA	721812886
AUS	JPN	30313398021
AUS	KOR	22686137295
AUS	LUX	3255644
AUS	MEX	219561544
AUS	NLD	2530461496
AUS	NOR	78193362
AUS	NZL	8155891554
AUS	POL	339660819
AUS	PRT	27438426
AUS	RUS	178663601
AUS	SAU	1305837473
AUS	SVK	13782719
AUS	SVN	134678495
AUS	SWE	239974001
AUS	TUR	876808628
AUS	USA	10986742937
AUS	ZAF	807080696
AUT	AUS	1306847970
AUT	BEL	3213330618
AUT	CAN	1791465598
AUT	CZE	7365655704
AUT	DNK	1156703847
AUT	FIN	924931081
AUT	FRA	8225979913
AUT	DEU	61502534371
AUT	GRC	772373657
AUT	HUN	8099849684
AUT	ISL	58981744
AUT	IRL	504978677
AUT	ITA	13965835417
AUT	JPN	1773921530
AUT	KOR	1844286068
AUT	LUX	236275051
AUT	MEX	1764138131
AUT	NLD	3966864080
AUT	NZL	225496138
AUT	NOR	664443202
AUT	POL	8082792823
AUT	PRT	559332583
AUT	SVK	8047895297
AUT	ESP	3114141779
AUT	SWE	2164436179
AUT	CHE	10925676577
AUT	TUR	1901517039
AUT	GBR	5377183988
AUT	USA	13293088496
AUT	ARG	170039091
AUT	BRA	1180690155
AUT	CHL	273140042
AUT	CHN	5456210113
AUT	EST	211870365
AUT	IND	1247874770
AUT	IDN	264519447
AUT	ISR	585906197
AUT	RUS	1947122201
AUT	SAU	517279166
AUT	SVN	5076984590
AUT	ZAF	713101407
BEL	ARG	509820292
BEL	AUS	2365403013
BEL	AUT	3378137208
BEL	BRA	2482892191
BEL	CAN	3734551399
BEL	CHE	5033699143
BEL	CHL	536182001
BEL	CHN	7128836374
BEL	CZE	3490381790
BEL	DEU	65793580020
BEL	DNK	2844264827
BEL	ESP	10226142637
BEL	EST	393556474
BEL	FIN	1838935246
BEL	FRA	53024677499
BEL	GBR	23906025852
BEL	GRC	1473946973
BEL	HUN	2224347656
BEL	IDN	648320348
BEL	IND	6893311629
BEL	IRL	2684067460
BEL	ISL	132159703
BEL	ISR	2564974799
BEL	ITA	15587283680
BEL	JPN	8288227962
BEL	KOR	3077997607
BEL	LUX	7145569891
BEL	MEX	1335480146
BEL	NLD	47540598092
BEL	NOR	2323562355
BEL	NZL	431552831
BEL	POL	9427868432
BEL	PRT	1988421603
BEL	RUS	3779634617
BEL	SAU	1933368641
BEL	SVK	1133059719
BEL	SVN	592687857
BEL	SWE	6154459047
BEL	TUR	5197218403
BEL	USA	26672658582
BEL	ZAF	1393784997
CAN	ARG	282692308
CAN	AUS	1839679123
CAN	AUT	274050982
CAN	BEL	3117071364
CAN	BRA	1807441686
CAN	CHE	2416284886
CAN	CHL	974758851
CAN	CHN	23000049629
CAN	CZE	181010013
CAN	DEU	5147367116
CAN	DNK	196129998
CAN	ESP	1855737004
CAN	EST	18426006
CAN	FIN	549345656
CAN	FRA	3218115863
CAN	GBR	12912862110
CAN	GRC	115292809
CAN	HUN	84958957
CAN	IDN	1790450525
CAN	IND	2378255091
CAN	IRL	620637103
CAN	ISL	70696183
CAN	ISR	380845704
CAN	ITA	2113297335
CAN	JPN	11459851567
CAN	KOR	4558534004
CAN	LUX	116608181
CAN	MEX	6534229446
CAN	NLD	3808764738
CAN	NOR	2496086501
CAN	NZL	346347650
CAN	POL	658704458
CAN	PRT	230339484
CAN	RUS	526188462
CAN	SAU	1743087454
CAN	SVK	35658830
CAN	SVN	56871760
CAN	SWE	349310592
CAN	TUR	913261197
CAN	USA	378359178736
CAN	ZAF	305553742
CHE	ARG	685083549
CHE	AUS	2424582737
CHE	AUT	10230802660
CHE	BEL	5057489263
CHE	BRA	2369484487
CHE	CAN	4133099710
CHE	CHL	353688113
CHE	CHN	32962848272
CHE	CZE	2248578592
CHE	DEU	55079769102
CHE	DNK	1230458984
CHE	ESP	13791331281
CHE	EST	323671247
CHE	FIN	682345506
CHE	FRA	19057810831
CHE	GBR	14058766676
CHE	GRC	793084282
CHE	HUN	1276778483
CHE	IDN	360283309
CHE	IND	31337940370
CHE	IRL	1305163278
CHE	ISL	83949012
CHE	ISR	1193337464
CHE	ITA	20248884659
CHE	JPN	8492671514
CHE	KOR	3641532334
CHE	LUX	417697140
CHE	MEX	1531613828
CHE	NLD	7347308929
CHE	NOR	732341411
CHE	NZL	288579350
CHE	POL	3267628144
CHE	PRT	1273432666
CHE	RUS	3684226353
CHE	SAU	2493856781
CHE	SVK	748991147
CHE	SVN	8726727743
CHE	SWE	2034139312
CHE	TUR	2817972112
CHE	USA	62649845057
CHE	ZAF	636094955
CHL	ARG	787339057
CHL	AUS	339476147
CHL	AUT	138549458
CHL	BEL	472962995
CHL	BRA	4582086919
CHL	CAN	1165429726
CHL	CHE	914291596
CHL	CHN	36523644707
CHL	CZE	22799659
CHL	DEU	1075678114
CHL	DNK	137066120
CHL	ESP	1554036754
CHL	EST	5273608
CHL	FIN	265612703
CHL	FRA	1596395369
CHL	GBR	577466536
CHL	GRC	67938221
CHL	HUN	2600845
CHL	IDN	144045540
CHL	IND	1287935716
CHL	IRL	55823608
CHL	ISL	2210369
CHL	ISR	94675237
CHL	ITA	766757588
CHL	JPN	7238280999
CHL	KOR	4826182328
CHL	MEX	1390892391
CHL	NLD	1535226712
CHL	NOR	57275755
CHL	NZL	58978137
CHL	POL	116139888
CHL	PRT	37487341
CHL	RUS	616977935
CHL	SAU	114617404
CHL	SVN	3047588
CHL	SWE	143914367
CHL	TUR	301417431
CHL	USA	14932946858
CHL	ZAF	210133091
CZE	ARG	65548128
CZE	AUS	603082919
CZE	AUT	10114464987
CZE	BEL	4960361099
CZE	BRA	397949178
CZE	CAN	356966768
CZE	CHE	3322027560
CZE	CHL	111245289
CZE	CHN	2971074379
CZE	DEU	73122422011
CZE	DNK	2217789271
CZE	ESP	5685829779
CZE	EST	388629910
CZE	FIN	1181344051
CZE	FRA	10439744569
CZE	GBR	8753483736
CZE	GRC	589135615
CZE	HUN	7432082181
CZE	IDN	100496631
CZE	IND	877261375
CZE	IRL	1467085633
CZE	ISL	62702959
CZE	ISR	1047265240
CZE	ITA	8718726866
CZE	JPN	1432619025
CZE	KOR	553486928
CZE	LUX	341744566
CZE	MEX	769879426
CZE	NLD	8308056802
CZE	NOR	1063456977
CZE	NZL	122891511
CZE	POL	14987953723
CZE	PRT	788983487
CZE	RUS	4316440305
CZE	SAU	351888243
CZE	SVK	18120540781
CZE	SVN	1142326999
CZE	SWE	3810579767
CZE	TUR	2335670508
CZE	USA	5326297638
CZE	ZAF	581050448
DEU	ARG	2687686745
DEU	AUS	11797848491
DEU	AUT	81558611235
DEU	BEL	60508540025
DEU	BRA	12460793756
DEU	CAN	11990307602
DEU	CHE	73830633938
DEU	CHL	3223393439
DEU	CHN	123860201345
DEU	CZE	54672630291
DEU	DNK	24468867437
DEU	ESP	51940221972
DEU	EST	2619871750
DEU	FIN	14190322125
DEU	FRA	121125989145
DEU	GBR	77528319580
DEU	GRC	8413655616
DEU	HUN	33946294157
DEU	IDN	2951427666
DEU	IND	14782190119
DEU	IRL	9235499161
DEU	ISL	680246580
DEU	ISR	6427966892
DEU	ITA	88866758692
DEU	JPN	21789596123
DEU	KOR	22255815294
DEU	LUX	7773595707
DEU	MEX	15679414133
DEU	NLD	108895884134
DEU	NOR	11527246597
DEU	NZL	1878171205
DEU	POL	92391816463
DEU	PRT	11857984517
DEU	RUS	32191377681
DEU	SAU	6668821262
DEU	SVK	17991036108
DEU	SVN	7248414577
DEU	SWE	31484711442
DEU	TUR	25290379821
DEU	USA	144804163459
DEU	ZAF	9646566918
DNK	ARG	109184810
DNK	AUS	1005787761
DNK	AUT	769665561
DNK	BEL	1961727121
DNK	BRA	459762251
DNK	CAN	577457772
DNK	CHE	1100176623
DNK	CHL	164815957
DNK	CHN	4380591646
DNK	CZE	820823669
DNK	DEU	16161689113
DNK	ESP	1994937491
DNK	EST	350384701
DNK	FIN	2406434723
DNK	FRA	3710368300
DNK	GBR	6300678230
DNK	GRC	423157550
DNK	HUN	585739555
DNK	IDN	128285021
DNK	IND	580080129
DNK	IRL	780746495
DNK	ISL	746042350
DNK	ISR	233535730
DNK	ITA	2714040911
DNK	JPN	1504819256
DNK	KOR	836378411
DNK	LUX	94920895
DNK	MEX	403195915
DNK	NLD	5830457857
DNK	NOR	7199368522
DNK	NZL	176049445
DNK	POL	4164708120
DNK	PRT	346572513
DNK	RUS	972677279
DNK	SAU	454470002
DNK	SVK	310876482
DNK	SVN	132116567
DNK	SWE	11526395588
DNK	TUR	1098850866
DNK	USA	5923840610
DNK	ZAF	222686653
ESP	ARG	1080368969
ESP	AUS	1922537394
ESP	AUT	2886264490
ESP	BEL	16983829907
ESP	BRA	3064431669
ESP	CAN	2398416865
ESP	CHE	6789779276
ESP	CHL	2068420310
ESP	CHN	10259989716
ESP	CZE	3491028051
ESP	DEU	38352363307
ESP	DNK	2544874279
ESP	EST	316151269
ESP	FIN	1508891042
ESP	FRA	59699989734
