source,target,interaction,directed
Advance_Publications,The_Birmingham_News_,owns,TRUE
Advance_Publications,Harrisburg_Patriot_News_,owns,TRUE
Advance_Publications,The_Huntsville_Times_,owns,TRUE
Advance_Publications,The_Jersey_Journal_,owns,TRUE
Advance_Publications,Mississippi_Press_,owns,TRUE
Advance_Publications,The_Oregonian_,owns,TRUE
Advance_Publications,Plain_Dealer_,owns,TRUE
Advance_Publications,The_Star_Ledger_,owns,TRUE
Advance_Publications,Staten_Island_Advance_,owns,TRUE
Advance_Publications,Syracuse_Herald_Journal_,owns,TRUE
Syracuse_Herald_Journal_,The_Herald_American_,owns,TRUE
Advance_Publications,The_Post_Standard_,owns,TRUE
Advance_Publications,The_Times_Picayune_,owns,TRUE
Advance_Publications,The_Trenton_Times_,owns,TRUE
Advance_Publications,Union_News_Sunday_Republican_,owns,TRUE
Advance_Publications,Sun_Newspapers,owns,TRUE
Advance_Publications,Booth_Newspapers_of_Michigan,owns,TRUE
Booth_Newspapers_of_Michigan,Ann_Arbor_News,owns,TRUE
Booth_Newspapers_of_Michigan,Bay_City_Times,owns,TRUE
Booth_Newspapers_of_Michigan,Flint_Journal,owns,TRUE
Booth_Newspapers_of_Michigan,Grand_Rapids_Press,owns,TRUE
Booth_Newspapers_of_Michigan,Jackson_Citizen_Patriot,owns,TRUE
Booth_Newspapers_of_Michigan,Kalamazoo_Gazette,owns,TRUE
Booth_Newspapers_of_Michigan,Mobile_Register,owns,TRUE
Booth_Newspapers_of_Michigan,Muskegon_Chronicle,owns,TRUE
Booth_Newspapers_of_Michigan,Saginaw_News,owns,TRUE
Advance_Publications,American_City_Business_Journals,owns,TRUE
Advance_Publications,Conde_Nast_Publications,owns,TRUE
Conde_Nast_Publications,Allure,owns,TRUE
Conde_Nast_Publications,Architectural_Digest,owns,TRUE
Conde_Nast_Publications,Bon_Appetit,owns,TRUE
Conde_Nast_Publications,Bride_s,owns,TRUE
Conde_Nast_Publications,Conde_Nast_House_Garden,owns,TRUE
Conde_Nast_Publications,Women_s_Sports_Fitness,owns,TRUE
Conde_Nast_Publications,Conde_Nast_Traveler,owns,TRUE
Conde_Nast_Publications,Glamour,owns,TRUE
Conde_Nast_Publications,Gourmet,owns,TRUE
Conde_Nast_Publications,GQ,owns,TRUE
Conde_Nast_Publications,Lucky,owns,TRUE
Conde_Nast_Publications,Mademoiselle,owns,TRUE
Conde_Nast_Publications,The_New_Yorker,owns,TRUE
Conde_Nast_Publications,Self,owns,TRUE
Conde_Nast_Publications,Tatler,owns,TRUE
Conde_Nast_Publications,The_World_of_Interiors,owns,TRUE
Conde_Nast_Publications,Vanity_Fair,owns,TRUE
Conde_Nast_Publications,Vogue,owns,TRUE
Conde_Nast_Publications,Wired,owns,TRUE
Conde_Nast_Publications,Parade_Publications,owns,TRUE
Parade_Publications,Parade,owns,TRUE
Conde_Nast_Publications,Ideas_Publishing_Group,owns,TRUE
Conde_Nast_Publications,react,owns,TRUE
Advance_Publications,Fairchild_Publications,owns,TRUE
Fairchild_Publications,W,owns,TRUE
Fairchild_Publications,Jane,owns,TRUE
Fairchild_Publications,Details,owns,TRUE
Fairchild_Publications,Women_s_Wear_Daily,owns,TRUE
Fairchild_Publications,WWD_DNR_The_Business_Newsletter_for_Specialty_Stores,owns,TRUE
Fairchild_Publications,Daily_News_Record,owns,TRUE
Fairchild_Publications,Footwear_News,owns,TRUE
Fairchild_Publications,Home_Furnishings_News,owns,TRUE
Fairchild_Publications,HighPoints,owns,TRUE
Fairchild_Publications,Executive_Technology,owns,TRUE
Fairchild_Publications,Children_s_Business,owns,TRUE
Fairchild_Publications,Supermarket_News,owns,TRUE
Fairchild_Publications,Brand_Marketing,owns,TRUE
Fairchild_Publications,Salon_News,owns,TRUE
Advance_Publications,Discovery_Communications,owns,TRUE
Advance_Publications,NewsFlash,owns,TRUE
Advance_Publications,Epicurious_com,owns,TRUE
Advance_Publications,Style_com,owns,TRUE
Advance_Publications,Advance_Internet,owns,TRUE
Advance_Internet,Alabama_Live,owns,TRUE
Advance_Internet,Cleveland_Live,owns,TRUE
Advance_Internet,MassLive,owns,TRUE
Advance_Internet,Michigan_Live,owns,TRUE
Advance_Internet,New_Jersey_Online,owns,TRUE
Advance_Internet,NOLA_Live_,owns,TRUE
Advance_Internet,PennLive,owns,TRUE
Advance_Internet,Staten_Island_Live,owns,TRUE
Advance_Internet,Syracuse_Live,owns,TRUE
Advance_Publications,Cond_Net,owns,TRUE
Cond_Net,Concierge_com,owns,TRUE
Cond_Net,Epicurious_com,owns,TRUE
Cond_Net,Swoon,owns,TRUE
Cond_Net,Vogue_com,owns,TRUE
Advance_Publications,Cartoonbank_com,owns,TRUE
Advance_Publications,Newhouse_News_Service,owns,TRUE
Advance_Publications,Real_Media,owns,TRUE
Advance_Publications,Religion_News_Service,owns,TRUE
Advance_Publications,Newhouse_Newspapers,owns,TRUE
Belo,WFAA_TV_Dallas_Fort_Worth_,owns,TRUE
Belo,KHOU_TV_Houston_,owns,TRUE
Belo,KING_TV_Seattle_,owns,TRUE
Belo,KONG_TV_Seattle_,owns,TRUE
Belo,KXTV_Sacramento_,owns,TRUE
Belo,KMOV_TV_St_Louis_,owns,TRUE
Belo,KGW_TV_Portland_,owns,TRUE
Belo,WCNC_TV_Charlotte_,owns,TRUE
Belo,KENS_TV_San_Antonio_,owns,TRUE
Belo,WVEC_TV_Hampton_Norfolk_,owns,TRUE
Belo,WWL_TV_New_Orleans_,owns,TRUE
Belo,KASA_TV_Albuquerque_,owns,TRUE
Belo,WHAS_TV_Louisville_,owns,TRUE
Belo,KOTV_Tulsa_,owns,TRUE
Belo,KHNL_TV_Honolulu_,owns,TRUE
Belo,KFVE_TV_Honolulu_,owns,TRUE
Belo,KREM_TV_Spokane_,owns,TRUE
Belo,KTVK_TV_,owns,TRUE
Belo,KMSB_TV_Tucson_,owns,TRUE
Belo,KASW_TV_,owns,TRUE
Belo,KTVB_TV_Boise_,owns,TRUE
Belo,KVUE_TV_Austin_,owns,TRUE
Belo,Arlington_Morning_News_,owns,TRUE
Belo,The_Providence_Journal_,owns,TRUE
Belo,Belo_Productions,owns,TRUE
Belo_Productions,Northwest_Cable_News,owns,TRUE
Belo_Productions,Texas_Cable_News,owns,TRUE
Belo,The_Hemet_News_,owns,TRUE
Belo,The_Dallas_Morning_News,owns,TRUE
Belo,Providence_Journal_Bulletin,owns,TRUE
Belo,The_Press_Enterprise_,owns,TRUE
Belo,Messenger_Inquirer_,owns,TRUE
Belo,The_Eagle_,owns,TRUE
Belo,The_Gleaner_,owns,TRUE
Belo,Denton_Publishing_Company_,owns,TRUE
Denton_Publishing_Company_,Denton_Record_Chronicle,owns,TRUE
Denton_Publishing_Company_,Lewisville_News,owns,TRUE
Denton_Publishing_Company_,Grapevine_Sun,owns,TRUE
Belo,Dallas_Mavericks,owns,TRUE
AT_T,AT_T_WorldNet,owns,TRUE
AT_T,ACC,owns,TRUE
AT_T,AT_T_Canada,owns,TRUE
AT_T,AT_T_Communications,owns,TRUE
AT_T,AT_T_Global_Communications_Services,owns,TRUE
AT_T,AT_T_Global_Network_Services,owns,TRUE
AT_T,AT_T_Istel,owns,TRUE
AT_T,AT_T_Latin_America,owns,TRUE
AT_T,AT_T_Solutions,owns,TRUE
AT_T,AT_T_Wireless_Services,owns,TRUE
AT_T,Concert,owns,TRUE
AT_T,Liberty_Media,owns,TRUE
AT_T,LIN_Broadcasting,owns,TRUE
AT_T,Teleport_Communications_Group,owns,TRUE
AT_T,AT_T_Cable_Services,owns,TRUE
AT_T,Net2Phone,owns,TRUE
AT_T,GRC_International,owns,TRUE
Liberty_Media,Discovery_Communications,owns,TRUE
BET_Holdings_II,BET_on_Jazz,owns,TRUE
BET_Holdings_II,BET_Action_Pay_Per_View,owns,TRUE
BET_Holdings_II,BET_Gospel,owns,TRUE
BET_Holdings_II,BET_International,owns,TRUE
Liberty_Media,Starz_Encore_Group,owns,TRUE
Liberty_Media,Canales,owns,TRUE
Liberty_Media,Corus_Entertainment,owns,TRUE
Liberty_Media,Emmis_Communications,owns,TRUE
Liberty_Media,E_Entertainment_Television,owns,TRUE
BET_Holdings_II,BET_Weekend,owns,TRUE
BET_Holdings_II,Emerge,owns,TRUE
BET_Holdings_II,Heart_Soul,owns,TRUE
BET_Holdings_II,Honey,owns,TRUE
BET_Holdings_II,IMPACT,owns,TRUE
Liberty_Media,Gemstar_TV_Guide_International,owns,TRUE
Liberty_Media,International_Channel,owns,TRUE
Liberty_Media,Jupiter_Programming,owns,TRUE
Liberty_Media,MacNeil_Lehrer_Productions,owns,TRUE
Liberty_Media,MultiThematiques,owns,TRUE
Liberty_Media,Pramer,owns,TRUE
Liberty_Media,The_Premium_Movie_Partnership,owns,TRUE
Liberty_Media,Telemundo_Network,owns,TRUE
Liberty_Media,Telemundo_Station_Group,owns,TRUE
Liberty_Media,Torneos_y_Competencias,owns,TRUE
Liberty_Media,Court_TV,owns,TRUE
Liberty_Media,Cablevision_S_A_,owns,TRUE
Liberty_Media,Sky_Latin_America,owns,TRUE
Liberty_Media,Jupiter_Telecommunications_Co_,owns,TRUE
AT_T_Broadband,TCI_Cablevision_of_Puerto_Rico,owns,TRUE
Liberty_Media,General_Instrument,owns,TRUE
Liberty_Media,Princes_Holdings,owns,TRUE
Liberty_Media,IDT,owns,TRUE
Liberty_Media,Liberty_Cablevision_of_Puerto_Rico,owns,TRUE
Liberty_Media,Teligent,owns,TRUE
Liberty_Media,Style,owns,TRUE
Liberty_Media,Challenge_TV,owns,TRUE
Liberty_Media,HSN_Direct,owns,TRUE
Liberty_Media,KinderNet,owns,TRUE
Liberty_Media,Living,owns,TRUE
Liberty_Media,SMG,owns,TRUE
Liberty_Media,Trouble,owns,TRUE
Liberty_Media,TV_Travel_Shop,owns,TRUE
Liberty_Media,UK_Arena_,owns,TRUE
Liberty_Media,UK_Gold_,owns,TRUE
Liberty_Media,UK_Gold_Classics_,owns,TRUE
Liberty_Media,UK_Horizons_,owns,TRUE
Liberty_Media,UK_Style_,owns,TRUE
Liberty_Media,UK_Play_,owns,TRUE
Liberty_Media,Fox_Kids_Worldwide,owns,TRUE
Liberty_Media,Cable_Soft_Network,owns,TRUE
Liberty_Media,CNBC_Asia,owns,TRUE
Liberty_Media,Golf_Network,owns,TRUE
Liberty_Media,J_Sports,owns,TRUE
Liberty_Media,The_Shop_Channel,owns,TRUE
Liberty_Media,Discovery_Japan,owns,TRUE
MultiThematiques,Canal_Jimmy_,owns,TRUE
MultiThematiques,Canal_Jimmy_,owns,TRUE
MultiThematiques,Cine_Cinemas_,owns,TRUE
MultiThematiques,Cine_Cinemas_,owns,TRUE
MultiThematiques,Cine_Classics_,owns,TRUE
Liberty_Media,Cine_Classics_,owns,TRUE
MultiThematiques,Cine_Classics_,owns,TRUE
MultiThematiques,Forum_Planete_,owns,TRUE
MultiThematiques,Planete_,owns,TRUE
